iter	Passed	Remaining
850	40288	16522
851	40336	16475
852	40395	16432
853	40460	16392
854	40494	16339
855	40530	16288
856	40568	16236
857	40612	16188
858	40653	16138
859	40698	16090
860	40731	16036
861	40764	15984
862	40812	15937
863	40859	15889
864	40896	15838
865	40930	15786
866	40979	15739
867	41018	15689
868	41072	15644
869	41125	15599
870	41170	15551
871	41234	15510
872	41292	15466
873	41339	15419
874	41402	15378
875	41453	15332
876	41511	15288
877	41573	15246
878	41631	15203
879	41671	15153
880	41716	15105
881	41776	15062
882	41842	15021
883	41893	14975
884	41945	14929
885	41989	14880
886	42025	14829
887	42058	14777
888	42098	14727
889	42142	14678
890	42186	14630
891	42234	14583
892	42291	14539
893	42343	14493
894	42403	14450
895	42454	14404
896	42510	14359
897	42562	14313
898	42615	14268
899	42659	14219
900	42705	14172
901	42747	14122
902	42785	14072
903	42833	14025
904	42881	13978
905	42934	13932
906	42975	13882
907	43009	13831
908	43050	13781
909	43095	13733
910	43129	13682
911	43172	13633
912	43212	13583
913	43273	13540
914	43324	13494
915	43365	13445
916	43404	13395
917	43458	13349
918	43506	13302
919	43551	13254
920	43602	13208
921	43657	13163
922	43696	13113
923	43748	13067
924	43797	13020
925	43854	12976
926	43909	12931
927	43956	12883
928	44002	12836
929	44055	12790
930	44091	12739
931	44128	12689
932	44174	12641
933	44223	12594
934	44276	12549
935	44314	12499
936	44355	12449
937	44401	12402
938	44445	12353
939	44480	12303
940	44528	12256
941	44604	12216
942	44642	12166
943	44687	12118
944	44740	12072
945	44783	12024
946	44836	11978
947	44876	11929
948	44926	11882
949	44967	11833
950	45010	11785
951	45047	11734
952	45082	11684
953	45115	11633
954	45153	11583
955	45188	11533
956	45232	11485
957	45279	11438
958	45324	11390
959	45374	11343
960	45413	11294
961	45451	11244
962	45490	11195
963	45530	11146
964	45583	11100
965	45622	11051
966	45676	11005
967	45736	10961
968	45796	10917
969	45845	10870
970	45889	10822
971	45934	10774
972	45983	10727
973	46020	10678
974	46064	10630
975	46121	10585
976	46165	10537
977	46203	10487
978	46238	10437
979	46271	10387
980	46304	10337
981	46353	10290
982	46416	10246
983	46460	10198
984	46499	10149
985	46547	10102
986	46608	10058
987	46663	10012
988	46699	9963
989	46751	9916
990	46821	9874
991	46882	9830
992	46932	9783
993	46974	9735
994	47027	9689
995	47073	9641
996	47129	9595
997	47173	9548
998	47214	9499
999	47264	9452
1000	47318	9407
1001	47365	9359
1002	47417	9313
1003	47469	9266
1004	47514	9219
1005	47551	9169
1006	47600	9123
1007	47648	9075
1008	47688	9027
1009	47739	8980
1010	47784	8933
1011	47829	8885
1012	47863	8835
1013	47916	8789
1014	47972	8743
1015	48012	8695
1016	48050	8646
1017	48090	8597
1018	48128	8548
1019	48190	8504
1020	48257	8460
1021	48313	8414
1022	48364	8368
1023	48417	8321
1024	48464	8274
1025	48502	8225
1026	48535	8175
1027	48572	8126
1028	48605	8077
1029	48635	8027
1030	48671	7978
1031	48722	7931
1032	48781	7886
1033	48837	7840
1034	48887	7793
1035	48934	7746
1036	48983	7699
1037	49029	7651
1038	49068	7603
1039	49118	7556
1040	49170	7510
1041	49228	7464
1042	49280	7418
1043	49326	7370
1044	49367	7322
1045	49416	7275
1046	49465	7228
1047	49510	7180
1048	49544	7131
1049	49576	7082
1050	49613	7033
1051	49658	6986
1052	49703	6938
1053	49739	6889
1054	49771	6840
1055	49801	6791
1056	49844	6743
1057	49884	6695
1058	49949	6650
1059	50005	6604
1060	50070	6559
1061	50120	6512
1062	50171	6466
1063	50222	6419
1064	50269	6372
1065	50302	6323
1066	50342	6275
1067	50380	6226
1068	50428	6179
1069	50517	6137
1070	50596	6094
1071	50649	6047
1072	50688	5999
1073	50738	5952
1074	50786	5905
1075	50837	5858
1076	50877	5810
1077	50909	5761
1078	50939	5712
1079	50978	5664
1080	51032	5617
1081	51083	5571
1082	51131	5523
1083	51172	5476
1084	51210	5427
1085	51254	5380
1086	51312	5334
1087	51344	5285
1088	51380	5237
1089	51415	5188
1090	51450	5140
1091	51494	5092
1092	51552	5046
1093	51593	4999
1094	51647	4952
1095	51697	4905
1096	51744	4858
1097	51797	4811
1098	51842	4764
1099	51900	4718
1100	51935	4669
1101	51970	4621
1102	52017	4574
1103	52068	4527
1104	52114	4480
1105	52162	4433
1106	52207	4386
1107	52256	4339
1108	52301	4291
1109	52368	4246
1110	52411	4198
1111	52460	4151
1112	52510	4104
1113	52547	4056
1114	52579	4008
1115	52612	3960
1116	52661	3913
1117	52723	3867
1118	52761	3819
1119	52813	3772
1120	52865	3725
1121	52920	3678
1122	52968	3631
1123	53005	3583
1124	53046	3536
1125	53098	3489
1126	53157	3443
1127	53211	3396
1128	53257	3349
1129	53313	3302
1130	53353	3254
1131	53395	3207
1132	53444	3160
1133	53482	3112
1134	53527	3065
1135	53582	3018
1136	53626	2971
1137	53671	2924
1138	53715	2876
1139	53773	2830
1140	53826	2783
1141	53867	2735
1142	53912	2688
1143	53959	2641
1144	54007	2594
1145	54051	2546
1146	54095	2499
1147	54153	2452
1148	54201	2405
1149	54242	2358
1150	54289	2311
1151	54336	2264
1152	54374	2216
1153	54438	2169
1154	54510	2123
1155	54560	2076
1156	54612	2029
1157	54663	1982
1158	54712	1935
1159	54757	1888
1160	54817	1841
1161	54874	1794
1162	54940	1747
1163	54985	1700
1164	55058	1654
1165	55116	1607
1166	55160	1559
1167	55195	1512
1168	55228	1464
1169	55271	1417
1170	55315	1369
1171	55361	1322
1172	55406	1275
1173	55451	1228
1174	55499	1180
1175	55541	1133
1176	55588	1086
1177	55638	1039
1178	55688	991
1179	55724	944
1180	55758	897
1181	55806	849
1182	55851	802
1183	55901	755
1184	55949	708
1185	55999	661
1186	56056	613
1187	56113	566
1188	56157	519
1189	56219	472
1190	56284	425
1191	56344	378
1192	56387	330
1193	56436	283
1194	56488	236
1195	56535	189
1196	56581	141
1197	56622	94
1198	56663	47
1199	56716	0
